Thumb;SKU;Name;Color;Category;Category Position;Brand;Seller;Balance;First Date;Comments;Rating;Final price;SPP Price;Revenue potential;Days in stock;Sales;Sales Per Day Average;Revenue;Pics Count;Hax Video;Categories Last Count
https://basket-05.wb.ru/vol751/part75175/75175551/images/c246x328/1.jpg;75175551;Простынь на резинке 160х200 х26см,хлопок;белый;Дом/Спальня;-1;YERRNA;ОАО Шуйские Ситцы ХБК;0;22.04.2022;1318;5;1227;920;4997980;18;2444;81,4667;2998788;17;0;0
https://basket-01.wb.ru/vol103/part10371/10371326/images/c246x328/1.jpg;10371326;простынь на резинке 160х200 / резинка по периметру борт 20см;серый,белый;Дом/Спальня/Постельные принадлежности/Простыни/Простынь натяжная;1;Ночь Нежна;ООО Альфа - Трейд;550;16.03.2020;1635;5;936;823;2796908;30;2939;97,9667;2796908;10;1;6
https://basket-05.wb.ru/vol839/part83996/83996281/images/c246x328/1.jpg;83996281;Простынь на резинке 160х200 х26см,хлопок;темно-синий;Дом/Спальня/Постельные принадлежности/Простыни/Простынь натяжная;3;YERRNA;ОАО Шуйские Ситцы ХБК;140;11.07.2022;1318;5;1339;1178;2121710;30;1903;63,4333;2121710;14;0;9
https://basket-05.wb.ru/vol751/part75177/75177194/images/c246x328/1.jpg;75177194;Простынь на резинке 180х200 х26см,хлопок;серо-бежевый,бежевый;Дом/Спальня/Постельные принадлежности/Простыни/Простынь натяжная;2;YERRNA;ОАО Шуйские Ситцы ХБК;0;22.04.2022;704;5;1100;825;1819765,385;26;1401;46,7;1577130;12;1;3
https://basket-06.wb.ru/vol1023/part102376/102376129/images/c246x328/1.jpg;102376129;Простынь на резинке 160х200 х26см,хлопок;пудровый,пастельно-розовый;Дом/Спальня;879;YERRNA;ОАО Шуйские Ситцы ХБК;0;27.09.2022;1318;5;1078;809;1875124,8;25;1400;46,6667;1562604;11;1;1
https://basket-01.wb.ru/vol103/part10371/10371333/images/c246x328/1.jpg;10371333;простынь на резинке 160х200 / резинка по периметру борт 20см;белый;Дом/Спальня/Постельные принадлежности/Простыни/Простынь натяжная;9;Ночь Нежна;ООО Альфа - Трейд;443;25.01.2020;1635;5;936;823;1384977,931;29;1413;47,1;1338812;8;1;6
https://basket-06.wb.ru/vol1023/part102376/102376275/images/c246x328/1.jpg;102376275;Простынь на резинке 160х200 х26см,хлопок;светло-зеленый;Дом/Спальня/Постельные принадлежности/Простыни/Простынь натяжная;4;YERRNA;ОАО Шуйские Ситцы ХБК;251;27.09.2022;1318;5;1302;1145;1357367,586;29;1175;39,1667;1312122;11;1;6
https://basket-03.wb.ru/vol392/part39235/39235671/images/c246x328/1.jpg;39235671;простынь на резинке 160х200 / бортики 20 см / хлопок 100%;серый,коричневый;Дом/Спальня/Постельные принадлежности/Простыни/Простынь натяжная;7;Ночь Нежна;ООО Альфа - Трейд;127;11.09.2021;741;5;900;792;1275660;30;1399;46,6333;1275660;11;1;6
https://basket-05.wb.ru/vol751/part75176/75176961/images/c246x328/1.jpg;75176961;Простынь на резинке 180х200 х26см,хлопок;серо-голубой;Дом/Детская/Постельные принадлежности/Для детей/Простынь натяжная;-1;YERRNA;ОАО Шуйские Ситцы ХБК;0;22.04.2022;703;5;1100;825;1648055,455;22;930;31;1208574;10;0;0
https://basket-01.wb.ru/vol103/part10371/10371327/images/c246x328/1.jpg;10371327;простынь на резинке 180х200, Хлопок 100%;серый,белый;Дом/Спальня/Постельные принадлежности/Простыни/Простынь натяжная;23;Ночь Нежна;ООО Альфа - Трейд;306;16.03.2020;531;5;996;876;1166923;30;1180;39,3333;1166923;9;1;5
